panel_title,y_label,kv_attended,method,score
BANKING77,Accuracy,1024,Quest Only,80.2
BANKING77,Accuracy,512,Quest Only,75.2
CLINC150,Accuracy,4096,WG-KV + Quest,90.8
CLINC150,Accuracy,2048,WG-KV + Quest,90.2
CLINC150,Accuracy,1024,WG-KV + Quest,87.2
CLINC150,Accuracy,512,WG-KV + Quest,82
CLINC150,Accuracy,4096,Quest Only,92.6
CLINC150,Accuracy,2048,Quest Only,91.4
CLINC150,Accuracy,1024,Quest Only,90
CLINC150,Accuracy,512,Quest Only,84.8
