tokens,method,component,latency
100K,Full,Non-Attention,27.6113
100K,Full,Attention,30.7134
100K,WG-KV,Non-Attention,27.8097666666667
100K,WG-KV,Attention,8.42376666666667
200K,Full,Non-Attention,27.4289
200K,Full,Attention,58.9257666666667
200K,WG-KV,Non-Attention,28.0239
200K,WG-KV,Attention,14.2534
300K,Full,Non-Attention,27.8317666666667
300K,Full,Attention,86.9708
300K,WG-KV,Non-Attention,27.5574333333333
300K,WG-KV,Attention,20.0294666666667
400K,Full,Non-Attention,27.9015333333333
400K,Full,Attention,114.903266666667
400K,WG-KV,Non-Attention,28.3209333333333
400K,WG-KV,Attention,26.3458333333333
500K,Full,Non-Attention,NA
500K,Full,Attention,NA
500K,WG-KV,Non-Attention,27.7592333333333
500K,WG-KV,Attention,33.1006
