tokens,method,component,latency
100K,Full,Non-Attention,1.85611
100K,Full,Attention,11.01264
100K,WG-KV,Non-Attention,1.99324
100K,WG-KV,Attention,2.04085
200K,Full,Non-Attention,3.75626
200K,Full,Attention,44.55348
200K,WG-KV,Non-Attention,4.04193
200K,WG-KV,Attention,8.47077
300K,Full,Non-Attention,5.51834999999999
300K,Full,Attention,100.82658
300K,WG-KV,Non-Attention,5.93932
300K,WG-KV,Attention,20.31576
400K,Full,Non-Attention,7.52595000000001
400K,Full,Attention,179.42675
400K,WG-KV,Non-Attention,8.05344
400K,WG-KV,Attention,37.58829
500K,Full,Non-Attention,9.21579999999999
500K,Full,Attention,281.99139
500K,WG-KV,Non-Attention,9.87514
500K,WG-KV,Attention,59.36792
